User_ID,Age,Gender,Location,Interests
U1,56,Male,Tokyo,"Sports, Soccer, Fitness"
U2,46,Female,New York,"Cooking, Recipes, Food"
U3,32,Female,London,"Sports, Soccer, Fitness"
U4,25,Female,Chicago,"Cooking, Recipes, Food"
U5,38,Male,Los Angeles,"Travel, Photography, Food"
U6,56,Female,Sydney,"Travel, Photography, Food"
U7,36,Male,Los Angeles,"Travel, Photography, Food"
U8,40,Male,Toronto,"Health, Yoga, Meditation"
U9,28,Female,Paris,"Sports, Soccer, Fitness"
U10,28,Female,New York,"Cooking, Recipes, Food"
U11,41,Male,New York,"Fashion, Beauty, Lifestyle"
U12,53,Male,Chicago,"Technology, AI, Programming"
U13,57,Female,Paris,"Fashion, Beauty, Lifestyle"
U14,41,Female,Berlin,"Technology, AI, Programming"
U15,20,Female,San Francisco,"Gaming, Anime, Movies"
U16,39,Male,London,"Fashion, Beauty, Lifestyle"
U17,19,Male,New York,"Business, Entrepreneurship, Finance"
U18,41,Male,Tokyo,"Business, Entrepreneurship, Finance"
U19,47,Male,New York,"Music, Pop Culture, Art"
U20,55,Male,Los Angeles,"Sports, Soccer, Fitness"
U21,19,Male,New York,"Technology, AI, Programming"
U22,38,Female,New York,"Technology, AI, Programming"
U23,50,Male,San Francisco,"Sports, Soccer, Fitness"
U24,29,Male,San Francisco,"Health, Yoga, Meditation"
U25,39,Male,Sydney,"Music, Pop Culture, Art"
U26,42,Female,Berlin,"Health, Yoga, Meditation"
U27,44,Male,Tokyo,"Health, Yoga, Meditation"
U28,59,Male,New York,"Health, Yoga, Meditation"
U29,45,Female,New York,"Sports, Soccer, Fitness"
U30,33,Male,London,"Health, Yoga, Meditation"
U31,32,Male,San Francisco,"Business, Entrepreneurship, Finance"
U32,20,Male,Tokyo,"Travel, Photography, Food"
U33,54,Male,Chicago,"Gaming, Anime, Movies"
U34,24,Male,Sydney,"Technology, AI, Programming"
U35,38,Female,Berlin,"Technology, AI, Programming"
U36,26,Female,Paris,"Gaming, Anime, Movies"
U37,56,Female,Berlin,"Sports, Soccer, Fitness"
U38,35,Male,Los Angeles,"Fashion, Beauty, Lifestyle"
U39,21,Male,New York,"Sports, Soccer, Fitness"
U40,42,Male,Sydney,"Technology, AI, Programming"
U41,31,Female,Los Angeles,"Technology, AI, Programming"
U42,26,Male,Tokyo,"Gaming, Anime, Movies"
U43,43,Male,Paris,"Health, Yoga, Meditation"
U44,19,Female,San Francisco,"Sports, Soccer, Fitness"
U45,37,Male,Sydney,"Cooking, Recipes, Food"
U46,45,Female,Sydney,"Gaming, Anime, Movies"
U47,24,Female,New York,"Business, Entrepreneurship, Finance"
U48,25,Female,Toronto,"Technology, AI, Programming"
U49,52,Male,Sydney,"Gaming, Anime, Movies"
U50,31,Male,London,"Sports, Soccer, Fitness"
U51,34,Male,Paris,"Technology, AI, Programming"
U52,53,Male,Paris,"Fashion, Beauty, Lifestyle"
U53,57,Male,London,"Gaming, Anime, Movies"
U54,21,Male,Chicago,"Music, Pop Culture, Art"
U55,19,Male,London,"Technology, AI, Programming"
U56,23,Female,London,"Sports, Soccer, Fitness"
U57,59,Male,Paris,"Travel, Photography, Food"
U58,21,Female,Berlin,"Cooking, Recipes, Food"
U59,46,Male,Paris,"Education, Teaching, Learning"
U60,35,Male,Toronto,"Health, Yoga, Meditation"
U61,43,Male,New York,"Education, Teaching, Learning"
U62,51,Female,Los Angeles,"Sports, Soccer, Fitness"
U63,27,Female,Berlin,"Business, Entrepreneurship, Finance"
U64,53,Female,San Francisco,"Business, Entrepreneurship, Finance"
U65,31,Female,Los Angeles,"Travel, Photography, Food"
U66,48,Male,New York,"Health, Yoga, Meditation"
U67,32,Female,Toronto,"Music, Pop Culture, Art"
U68,25,Male,Toronto,"Travel, Photography, Food"
U69,31,Male,San Francisco,"Education, Teaching, Learning"
U70,40,Female,Berlin,"Travel, Photography, Food"
U71,57,Female,Chicago,"Education, Teaching, Learning"
U72,38,Female,London,"Technology, AI, Programming"
U73,33,Female,Berlin,"Business, Entrepreneurship, Finance"
U74,35,Female,Chicago,"Technology, AI, Programming"
U75,41,Female,Toronto,"Cooking, Recipes, Food"
U76,43,Female,Paris,"Health, Yoga, Meditation"
U77,42,Female,New York,"Music, Pop Culture, Art"
U78,58,Male,San Francisco,"Education, Teaching, Learning"
U79,46,Female,New York,"Music, Pop Culture, Art"
U80,32,Female,Tokyo,"Education, Teaching, Learning"
U81,18,Male,Tokyo,"Sports, Soccer, Fitness"
U82,42,Female,Berlin,"Travel, Photography, Food"
U83,24,Male,Toronto,"Cooking, Recipes, Food"
U84,26,Male,Toronto,"Business, Entrepreneurship, Finance"
U85,41,Female,London,"Education, Teaching, Learning"
U86,18,Male,London,"Music, Pop Culture, Art"
U87,25,Male,London,"Cooking, Recipes, Food"
U88,41,Male,Paris,"Fashion, Beauty, Lifestyle"
U89,28,Male,Los Angeles,"Fashion, Beauty, Lifestyle"
U90,34,Female,Sydney,"Technology, AI, Programming"
U91,25,Male,Los Angeles,"Business, Entrepreneurship, Finance"
U92,52,Female,New York,"Sports, Soccer, Fitness"
U93,52,Male,Los Angeles,"Music, Pop Culture, Art"
U94,50,Male,Paris,"Travel, Photography, Food"
U95,22,Male,New York,"Travel, Photography, Food"
U96,59,Male,Los Angeles,"Music, Pop Culture, Art"
U97,56,Female,Paris,"Health, Yoga, Meditation"
U98,58,Female,Sydney,"Sports, Soccer, Fitness"
U99,45,Male,Los Angeles,"Cooking, Recipes, Food"
U100,24,Male,Paris,"Education, Teaching, Learning"
